2020-02-19 08:38:01.656522 -  latency: 2.104998 ms
2020-02-19 08:38:01.661812 -  latency: 2.000093 ms
2020-02-19 08:38:01.667792 -  latency: 2.504110 ms
2020-02-19 08:38:01.672914 -  latency: 2.150059 ms
2020-02-19 08:38:01.678718 -  latency: 2.477884 ms
2020-02-19 08:38:01.684038 -  latency: 2.408028 ms
2020-02-19 08:38:01.689033 -  latency: 2.038956 ms
2020-02-19 08:38:01.694405 -  latency: 1.939058 ms
2020-02-19 08:38:01.700444 -  latency: 2.486944 ms
2020-02-19 08:38:01.705422 -  latency: 2.053976 ms
2020-02-19 08:38:01.710708 -  latency: 1.911879 ms
2020-02-19 08:38:01.716804 -  latency: 2.563953 ms
2020-02-19 08:38:01.721768 -  latency: 2.066851 ms
2020-02-19 08:38:01.727128 -  latency: 1.905918 ms
2020-02-19 08:38:01.733017 -  latency: 2.376080 ms
2020-02-19 08:38:01.738098 -  latency: 2.117872 ms
2020-02-19 08:38:01.743325 -  latency: 1.879930 ms
2020-02-19 08:38:01.749381 -  latency: 2.547026 ms
2020-02-19 08:38:01.754476 -  latency: 2.174139 ms
2020-02-19 08:38:01.760338 -  latency: 2.537966 ms
2020-02-19 08:38:01.766236 -  latency: 2.555132 ms
2020-02-19 08:38:01.771379 -  latency: 2.224922 ms
2020-02-19 08:38:01.776705 -  latency: 2.068043 ms
2020-02-19 08:38:01.782687 -  latency: 2.578974 ms
2020-02-19 08:38:01.787725 -  latency: 2.162933 ms
2020-02-19 08:38:01.793041 -  latency: 2.069950 ms
2020-02-19 08:38:01.798946 -  latency: 2.504826 ms
2020-02-19 08:38:01.804149 -  latency: 2.209902 ms
2020-02-19 08:38:01.809410 -  latency: 2.007961 ms
2020-02-19 08:38:01.815501 -  latency: 2.682924 ms
2020-02-19 08:38:01.820438 -  latency: 2.155066 ms
2020-02-19 08:38:01.825745 -  latency: 1.990795 ms
2020-02-19 08:38:01.831748 -  latency: 2.526999 ms
2020-02-19 08:38:01.837337 -  latency: 2.646923 ms
2020-02-19 08:38:01.842161 -  latency: 2.002001 ms
2020-02-19 08:38:01.848159 -  latency: 2.569199 ms
2020-02-19 08:38:01.853165 -  latency: 2.058983 ms
2020-02-19 08:38:01.858573 -  latency: 1.994848 ms
2020-02-19 08:38:01.864605 -  latency: 2.547979 ms
2020-02-19 08:38:01.869566 -  latency: 2.098083 ms
2020-02-19 08:38:01.874821 -  latency: 1.895905 ms
2020-02-19 08:38:01.880868 -  latency: 2.523899 ms
2020-02-19 08:38:01.885906 -  latency: 2.090931 ms
2020-02-19 08:38:01.891195 -  latency: 1.898050 ms
2020-02-19 08:38:01.897229 -  latency: 2.455950 ms
2020-02-19 08:38:01.902275 -  latency: 2.082109 ms
2020-02-19 08:38:01.907688 -  latency: 2.020836 ms
2020-02-19 08:38:01.913613 -  latency: 2.456188 ms
2020-02-19 08:38:01.919132 -  latency: 2.485991 ms
2020-02-19 08:38:01.924074 -  latency: 2.012968 ms
2020-02-19 08:38:01.930156 -  latency: 2.617121 ms
2020-02-19 08:38:01.934962 -  latency: 1.970053 ms
2020-02-19 08:38:01.940385 -  latency: 1.929998 ms
2020-02-19 08:38:01.946234 -  latency: 2.361059 ms
2020-02-19 08:38:01.951350 -  latency: 2.062082 ms
2020-02-19 08:38:01.956805 -  latency: 2.048016 ms
2020-02-19 08:38:01.962649 -  latency: 2.433062 ms
2020-02-19 08:38:01.967697 -  latency: 1.994848 ms
2020-02-19 08:38:01.973087 -  latency: 1.975060 ms
2020-02-19 08:38:01.979091 -  latency: 2.514839 ms
2020-02-19 08:38:01.984081 -  latency: 2.045155 ms
